username,Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Hentai,Horror,Mahou Shoujo,Mecha,Music,Mystery,Psychological,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Thriller
NullNVoid,4.261904761904762,4.25925925925926,4.260869565217392,4.155555555555556,3.5,3.845454545454545,,7.333333333333333,,5.928571428571429,5.666666666666667,4.363636363636363,4.458333333333333,3.756410256410256,4.769230769230769,4.579545454545454,2.611111111111111,4.602564102564102,4.863636363636363
adrx24,7.576,7.382242990654205,7.366265060240965,7.940789473684212,6.76,7.233571428571428,,7.285714285714286,,8.254545454545454,7.457142857142857,8.001818181818182,7.855319148936172,7.141,7.781999999999999,7.53333333333333,8.1,7.736363636363636,7.953846153846154
Mcsuper,7.13870967741935,7.246999999999998,7.183050847457632,7.672774869109949,6.876315789473685,7.279012345679014,,7.683333333333333,7.633333333333333,6.045454545454546,7.735714285714287,7.715277777777778,8.051388888888887,7.045562130177515,7.289795918367349,7.577472527472527,6.824999999999999,7.754368932038832,8.236842105263158
SpiritChaser,5.74764705882353,6.228915662650603,5.717441860465117,7.009876543209876,5.243478260869565,6.008695652173913,0.1,5.25,7.333333333333333,6.494318181818182,7.611111111111111,7.651162790697675,6.575757575757576,5.943548387096774,6.245341614906832,6.0,5.136363636363637,6.406779661016949,7.131578947368421
Ultra,8.167889908256878,8.292592592592595,7.981147540983605,8.438095238095238,7.9075000000000015,7.95679012345679,,8.959999999999999,7.3,8.941666666666665,8.559999999999999,7.923076923076924,8.799999999999999,7.967272727272725,8.494594594594597,8.341558441558439,8.342857142857143,8.104166666666668,8.92
Atef,6.246363636363635,5.554237288135593,6.674358974358975,6.556410256410255,6.785714285714286,6.43448275862069,,6.166666666666667,,7.833333333333333,5.75,6.653061224489796,6.939622641509434,6.615151515151515,6.433333333333333,7.072093023255815,6.342105263157895,6.182142857142857,6.661538461538461
Alicemagic18,6.921212121212122,6.71875,7.129032258064516,7.326388888888889,8.5,7.052631578947368,,5.933333333333334,7.8,7.421052631578948,6.9363636363636365,6.893103448275863,7.623529411764705,7.820987654320987,6.862121212121212,7.604999999999999,7.444444444444445,7.661666666666666,6.48695652173913
Kuroiyuki,7.557971014492754,7.566666666666666,7.422131147540983,7.744827586206896,7.039473684210527,7.546875,,7.25,,8.5,7.857142857142857,7.86734693877551,7.61,7.392086330935252,7.390243902439025,7.648148148148148,7.277777777777778,7.6625,7.65625
Baleygr,6.618309859154929,5.579411764705882,6.218965517241379,6.379166666666666,4.5125,5.885714285714286,,6.3500000000000005,0.7,5.571428571428571,7.077777777777778,6.593939393939394,5.329411764705882,6.74,6.9375,6.2690909090909095,6.6875,6.4051282051282055,6.483333333333333
R2R,6.45609756097561,7.081300813008128,6.4852678571428575,6.822529644268776,5.196774193548388,6.816384180790957,0.0,7.199999999999999,6.033333333333334,6.327272727272727,5.808695652173914,6.901470588235293,6.891304347826087,6.314965986394558,6.475555555555556,7.003048780487804,6.9,6.801546391752577,6.653703703703702
giovakuun,7.711607142857143,7.908333333333333,7.060194174757282,8.249473684210527,7.265625,7.728048780487805,1.1488888888888888,7.708333333333333,,8.125,6.654545454545455,8.272727272727273,8.7,6.987804878048781,7.672413793103448,7.682142857142857,7.045454545454546,7.458333333333333,8.583333333333334
Seff,6.756,6.713178294573644,6.761627906976744,7.052083333333333,6.0,6.966666666666667,,6.758064516129032,5.0,6.619047619047619,5.0,6.889705882352941,6.717741935483871,6.695121951219512,6.685840707964601,7.208333333333333,6.416666666666667,6.759433962264151,6.788888888888889
Kaito67,6.851063829787234,6.872093023255814,6.672131147540983,7.063953488372093,5.681818181818182,6.733333333333333,,6.28125,6.375,7.375,6.642857142857143,7.148648648648648,7.090909090909091,5.875,6.935483870967742,6.911111111111111,7.666666666666667,6.862068965517241,7.066666666666666
TehSavageNinja,5.332824427480916,5.38046875,4.969090909090909,5.687916666666667,4.736363636363636,5.189655172413793,,4.937837837837838,6.466666666666667,5.7,5.0,5.582692307692308,5.561682242990655,4.858730158730159,5.278761061946903,4.651515151515151,5.823529411764706,5.036666666666667,5.667307692307692
LordSozin,4.193333333333333,4.4171122994652405,4.237771739130435,4.883054892601432,3.3582089552238807,4.164658634538153,1.6666666666666667,4.527777777777778,5.25,4.5,4.787878787878788,5.025547445255475,5.104166666666667,4.306020066889632,4.404878048780488,4.818181818181818,5.320754716981132,4.693236714975845,4.824561403508772
C00kieMaster,7.96,7.9411764705882355,8.183098591549296,8.157534246575343,7.315789473684211,7.764705882352941,8.0,7.9,9.5,7.190476190476191,8.090909090909092,8.125,8.0,7.8,7.716666666666667,8.358333333333333,8.4,8.08108108108108,8.285714285714286
blekmus,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FrostBurnXP,6.8933333333333335,7.102898550724637,6.833333333333333,6.94888888888889,6.705555555555556,7.0214285714285705,,6.888888888888888,,7.15,8.0,7.083333333333333,7.236842105263157,6.7,6.96470588235294,7.0,,6.8446808510638295,7.071428571428571
An1meDweeb,6.422222222222223,6.304347826086956,6.152564102564102,6.619469026548672,5.7375,6.41842105263158,,5.75,,7.111111111111111,6.578947368421052,6.617647058823529,6.7105263157894735,6.333333333333333,6.2926829268292686,6.373831775700935,6.6,6.047619047619048,6.625
Nikaru,6.324203821656051,5.674074074074073,6.1076142131979685,7.455882352941176,5.590566037735849,5.708205128205129,7.0,6.55625,6.285714285714286,3.0,6.9,7.810526315789472,7.418181818181819,6.123076923076922,6.474358974358975,6.624691358024692,6.947368421052632,6.428571428571429,7.785714285714286
IrrelevantGuy,5.628235294117647,6.294642857142857,6.209944751381215,6.269565217391305,5.4671875,5.793333333333333,5.148076923076923,3.975,4.5,6.142857142857143,7.1,6.793548387096775,6.280701754385965,5.939869281045752,6.1,6.547058823529412,5.590909090909091,6.102597402597402,6.661111111111111
hsunami10,0.5350877192982456,0.8068181818181818,0.5180722891566265,2.7241379310344827,0.5909090909090909,0.632,,4.0,,0.0,5.0,3.4545454545454546,1.3846153846153846,1.6857142857142855,0.4761904761904761,2.272727272727273,0.0,2.627906976744186,1.0
potsu,8.283132530120481,8.29811320754717,7.776000000000001,8.309375,8.60357142857143,8.258888888888889,6.21,7.985714285714286,8.76,8.357142857142858,8.379999999999999,8.914285714285715,8.55625,7.665476190476189,9.109523809523813,7.324615384615384,9.0,8.114285714285714,8.364285714285714
CodeBlazeFate,5.424137931034482,5.416666666666666,6.166129032258064,6.45,5.526666666666666,5.360273972602739,,5.91,5.64,6.09375,6.2,6.58,6.4,6.035294117647059,5.73968253968254,7.508571428571429,7.125,5.955,5.93125
OVERPOWERED99,7.481699346405229,7.736842105263157,7.633333333333333,7.857647058823529,7.0214285714285705,7.630597014925373,,7.584210526315789,7.664285714285714,7.211111111111111,7.763829787234043,7.77142857142857,7.604081632653061,7.519285714285713,7.539473684210526,7.9215384615384625,7.928,7.668367346938775,7.616666666666667
Twentycents,7.348235294117647,7.547169811320755,7.696116504854369,7.822826086956522,7.531999999999999,7.594029850746269,,6.666666666666667,9.15,8.7,6.675,7.434285714285714,7.908108108108108,7.98974358974359,7.592857142857143,7.387692307692308,7.45,7.26875,7.7625
